,gene symbol,forebrain_10.5_rep1,forebrain_10.5_rep2,forebrain_11.5_rep1,forebrain_11.5_rep2,forebrain_12.5_rep1,forebrain_12.5_rep2,forebrain_13.5_rep1,forebrain_13.5_rep2,forebrain_14.5_rep1,forebrain_14.5_rep2,forebrain_15.5_rep1,forebrain_15.5_rep2,forebrain_16.5_rep1,forebrain_16.5_rep2,forebrain_p0_rep1,forebrain_p0_rep2
2,0610009B22Rik,80.50672,79.869659,74.916749,87.8661,96.620828,89.155426,89.434294,95.631573,92.386297,91.296888,90.187185,85.60289,77.032063,93.313192,69.677023,63.742816
5,0610010K14Rik,199.075325,195.567767,183.44011,165.521838,174.466076,160.568419,165.977816,158.732169,175.978754,152.913607,142.366006,144.952895,143.48399,139.244555,120.676033,135.79619
8,0610030E20Rik,20.652602,20.067781,14.261456,13.645391,18.355628,19.110167,17.227448,15.531534,7.037504,11.243487,13.601323,13.813934,13.929031,12.961684,8.700432,5.126075
15,0610040J01Rik,1.221069,1.172302,0.48001,0.608964,1.176065,1.054045,1.591935,1.502411,1.676618,2.252666,2.23054,2.098964,3.004007,2.783876,4.701366,3.433726
20,1110002E22Rik,0.018093,0.003835,0.05353,0.0,0.013925,0.047754,0.027015,0.038311,0.025926,0.016821,0.113282,0.079329,0.132075,0.187471,0.039571,0.021473
25,1110004F10Rik,254.819791,255.406732,244.332131,238.710233,232.071696,230.663847,228.739823,219.127161,261.004553,274.267074,229.383248,223.905369,248.812819,251.081452,272.926307,253.635236
30,1110017D15Rik,3.823845,5.267709,4.924041,5.414022,8.004827,11.864603,12.74941,8.983297,13.305839,11.544288,15.630017,9.905229,11.246183,8.699318,23.301622,18.757219
35,1110025L11Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1110032F04Rik,0.819325,0.724482,1.175648,0.764206,1.199566,0.931759,1.190896,1.414775,2.055629,1.897936,1.96285,1.989095,1.948935,2.227647,1.469842,1.26863
42,1110038F14Rik,65.182565,66.045896,56.15085,54.693433,57.873965,51.609188,49.782307,50.330256,48.107631,45.766005,47.223277,47.587641,47.150646,44.531705,36.395852,34.806037
44,1110057P08Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,1110059E24Rik,47.211688,47.503861,37.797302,37.08938,31.425025,32.068194,34.183858,31.937078,39.759971,41.428243,28.57545,28.420366,30.277027,28.626553,28.233279,25.671367
46,1110059G10Rik,17.692091,17.591851,23.006666,23.767676,25.165426,27.256287,22.675342,20.14673,29.983997,33.69576,23.181048,23.048937,26.366414,23.215765,28.797049,32.863657
48,1110065P20Rik,36.649328,35.39485,45.020561,43.670424,50.366365,54.093434,49.726302,44.536195,73.968468,66.047805,68.293265,61.146255,68.00419,57.788675,108.890756,113.571355
50,1190005I06Rik,2.856363,2.631419,2.330847,2.348931,2.169497,3.907338,4.252144,3.882299,7.386251,8.69748,10.647898,8.84164,10.947673,9.705094,19.112972,19.146244
59,1500009L16Rik,34.941891,41.568814,34.76494,33.283303,29.229849,29.446346,36.005939,27.824006,40.478602,39.513843,35.150215,34.891759,42.302875,35.398926,69.74643,61.631649
60,1500011B03Rik,100.560956,102.05865,120.703782,105.558703,128.083855,129.206089,137.631887,125.54217,189.3494,189.313926,152.527175,149.430365,180.779264,156.872685,278.581993,290.912754
69,1600012H06Rik,18.194796,18.417456,21.492798,18.899141,21.586532,17.424203,17.897766,15.116769,16.513738,20.878699,18.597364,16.896515,20.490513,22.566147,15.984406,15.445068
71,1600014C10Rik,10.284964,10.492738,8.832181,9.245205,9.230615,7.8391,8.005832,7.151733,9.329913,10.117143,10.440515,10.394006,11.81146,10.790003,13.03815,7.05598
72,1600014C23Rik,0.227841,0.665047,0.721841,0.397509,0.142283,0.5972,0.0,0.146054,0.224093,0.0,0.244282,0.26377,0.334497,0.264524,0.149785,0.12276
81,1700001C19Rik,0.06554,0.228927,0.303196,0.353823,0.1145,0.173354,0.291868,0.163526,0.225702,0.397437,0.243262,0.283805,0.861383,0.388607,0.172557,0.191337
83,1700001F09Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,1700001J03Rik,0.0,0.04507,0.0,0.21201,0.112696,0.145088,0.085111,0.157085,0.0,0.0,0.042905,0.046591,0.057937,0.0,0.081568,0.033118
90,1700001K19Rik,0.073095,0.120764,0.208169,0.19246,0.102295,0.0,0.155148,0.496365,0.145088,0.145624,0.308593,0.20872,0.213339,0.255645,0.071811,0.059422
94,1700001O22Rik,2.288945,3.19677,2.97446,2.950371,3.174759,2.62137,2.805476,2.226954,1.403087,1.773773,1.725565,2.058219,1.197489,1.960669,0.898749,0.876938
95,1700001P01Rik,0.588593,0.215581,0.122639,0.336202,0.832025,0.444326,0.480483,0.606273,0.315344,0.0,0.272616,0.51898,0.66073,0.548596,0.188195,0.207006
98,1700003E16Rik,1.395057,1.021977,0.890747,1.375417,1.236691,1.986342,2.362266,1.656321,3.684255,5.301365,4.813716,3.456777,6.926852,5.868185,12.360754,8.370498
100,1700003F12Rik,4.470569,5.055205,2.592197,4.681085,1.999306,1.99781,1.277637,1.351428,1.119234,1.370871,2.349914,1.792517,2.973913,2.730659,2.553009,2.645938
102,1700003H04Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,1700006A11Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,1700008O03Rik,1.506003,1.334999,0.698301,0.476019,0.608222,1.169186,0.754097,0.604368,0.567654,0.692794,0.820307,0.6528,2.399843,0.658584,2.715615,1.655771
133,1700009N14Rik,0.0,0.0,0.0,0.117625,0.0,0.019536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021994,0.0
140,1700010I14Rik,2.374607,2.188119,1.787042,2.053325,2.043277,1.745349,1.363429,1.27918,0.886482,0.67852,1.09366,0.955439,1.16271,0.75426,1.676009,1.137343
150,1700011L22Rik,0.0,0.0,0.0,0.044531,0.0,0.0,0.0,0.03253,0.03339,0.0,0.0,0.0,0.0,0.058584,0.0,0.05548
